tau,w_c,v_c
  1.7040000000000000E+00,  1.9060985661037848E-02,  1.5159729405467254E-01
  1.7120000000000000E+00,  2.0198768383663732E-02,  1.2381057968905328E-01
  1.7200000000000000E+00,  2.0711233824419570E-02, -5.9241141312972589E-03
  1.7280000000000000E+00,  2.0411255138682999E-02, -3.4245435054400850E-02
  1.7360000000000000E+00,  2.0386473803574088E-02,  1.3401868222412775E-02
  1.7440000000000000E+00,  2.0350476486656940E-02, -2.1258837438746528E-02
  1.7520000000000000E+00,  2.0311844190181901E-02,  2.4555155827016908E-02
  1.7600000000000000E+00,  2.0690581563954289E-02,  6.1378290921188614E-02
  1.7680000000000000E+00,  2.1340635099405154E-02,  1.1179291540698970E-01
  1.7760000000000000E+00,  2.2470552845786373E-02,  1.5564576281643783E-01
  1.7840000000000000E+00,  2.3643693814090101E-02,  1.4167564271040586E-01
  1.7920000000000000E+00,  2.4968111261810769E-02,  2.0000966197767417E-01
  1.8000000000000000E+00,  2.6793601476044406E-02,  2.4467775041375167E-01
  1.8080000000000001E+00,  2.8704015281782430E-02,  2.2284831063976190E-01
  1.8160000000000001E+00,  3.0239430946650790E-02,  1.6243929057741360E-01
  1.8240000000000001E+00,  3.1550736051778182E-02,  1.8580787366418344E-01
  1.8320000000000001E+00,  3.3246355015129847E-02,  2.1724727706728733E-01
  1.8400000000000001E+00,  3.4684899342816849E-02,  1.4022696869450951E-01
  1.8480000000000001E+00,  3.5760002451883321E-02,  1.4540088994769870E-01
  1.8560000000000001E+00,  3.6987455530461955E-02,  1.5000857308140408E-01
  1.8640000000000001E+00,  3.8190993428050879E-02,  1.6869721341693736E-01
  1.8720000000000001E+00,  3.9894223755095833E-02,  2.5241562633052611E-01
  1.8799999999999999E+00,  4.1980791382993904E-02,  2.5710802301698732E-01
  1.8879999999999999E+00,  4.3967076665501897E-02,  2.3783179991565301E-01
  1.8959999999999999E+00,  4.5637047872109308E-02,  1.6871070007556924E-01
  1.9039999999999999E+00,  4.6688872959297849E-02,  1.0855918124429635E-01
  1.9119999999999999E+00,  4.7592154746776111E-02,  1.2163775566334935E-01
  1.9199999999999999E+00,  4.8559051117865688E-02,  1.1154084495697740E-01
  1.9279999999999999E+00,  4.9280779295101877E-02,  6.8680185591726020E-02
  1.9359999999999999E+00,  4.9810568279877794E-02,  8.0503872350604896E-02
  1.9440000000000000E+00,  5.0684600577124095E-02,  1.2434612938442662E-01
  1.9520000000000000E+00,  5.1370744316320729E-02,  2.8803990884751676E-02
  1.9600000000000000E+00,  5.1329009437887228E-02, -7.8469138559786357E-03
  1.9680000000000000E+00,  5.1497071682746511E-02,  3.8069582642139388E-02
  1.9760000000000000E+00,  5.1637400611247782E-02, -7.4462162633512820E-03
  1.9840000000000000E+00,  5.1534416383173971E-02, -1.3631298704050341E-02
  1.9920000000000000E+00,  5.1213970454146759E-02, -8.0790166572592470E-02
  2.0000000000000000E+00,  5.0439941041709811E-02, -7.7490542550772604E-02
  2.0080000000000000E+00,  5.0306776627200844E-02,  3.2348538355163797E-02
  2.0160000000000000E+00,  5.0523198635348571E-02,  6.6498967554880425E-03
  2.0240000000000000E+00,  5.0565966397068014E-02,  2.1206514664534180E-02
  2.0320000000000000E+00,  5.0859268567304168E-02,  3.7905022444488380E-02
  2.0400000000000000E+00,  5.1109717911615567E-02,  3.9212212722341926E-02
  2.0480000000000000E+00,  5.1773585331204096E-02,  1.3266068561254760E-01
  2.0560000000000000E+00,  5.3064872324050744E-02,  1.7225909414461216E-01
  2.0640000000000001E+00,  5.4316466741311416E-02,  1.3409651598518349E-01
  2.0720000000000001E+00,  5.5211401053226312E-02,  9.5486421799402241E-02
  2.0800000000000001E+00,  5.5918356236584588E-02,  7.7056058887864431E-02
  2.0880000000000001E+00,  5.6222087352743026E-02, -1.3629821761657989E-02
  2.0960000000000001E+00,  5.5806953510509856E-02, -6.5062397960534285E-02
  2.1040000000000001E+00,  5.5547269028698942E-02,  8.4993337185064882E-03
  2.1120000000000001E+00,  5.5896690232414295E-02,  7.4327321711828584E-02
  2.1200000000000001E+00,  5.6645031602862245E-02,  9.7199700363417268E-02
  2.1280000000000001E+00,  5.7051918874388846E-02, -1.3805064441265056E-02
  2.1360000000000001E+00,  5.6588067230276894E-02, -6.8704395010227418E-02
  2.1440000000000001E+00,  5.6322771121000009E-02, -1.8092110766269771E-03
  2.1520000000000001E+00,  5.6231336308308129E-02, -3.6169720457011223E-02
  2.1600000000000001E+00,  5.5813946860965129E-02, -5.3489821776977226E-02
  2.1680000000000001E+00,  5.5495404926367460E-02, -2.7486694217503327E-02
  2.1760000000000002E+00,  5.5329151517674965E-02, -1.6723327047365483E-02
  2.1840000000000002E+00,  5.5133715351159747E-02, -3.9814349079284501E-02
  2.1920000000000002E+00,  5.4687187495313504E-02, -6.2978408556040227E-02
